Problem,Centroids,m,k,Objetive Value,CPU
prob2.txt,"[[4.38, 3.11, 3.34, 3.76], [4.44, 8.26, 5.05, 6.56]]",20,2,106.92292445262699,0.0003747000000000056
prob2.txt,"[[4.51, 6.71, 5.15, 2.63], [4.33, 4.14, 3.28, 6.38]]",20,2,112.65943838530903,0.00039970000000000283
prob2.txt,"[[5.48, 5.35, 1.65, 7.93], [3.94, 5.09, 5.04, 3.57]]",20,2,112.09206517727033,0.0003917999999999977
prob2.txt,"[[4.38, 3.11, 3.34, 3.76], [4.44, 8.26, 5.05, 6.56]]",20,2,106.92292445262699,0.0005479999999999929
